Age,Study_Hours_per_Week,Preferred_Learning_Style,Online_Courses_Completed,Participation_in_Discussions,Assignment_Completion_Rate (%),Exam_Score (%),Attendance_Rate (%),Use_of_Educational_Tech,Self_Reported_Stress_Level,Time_Spent_on_Social_Media (hours/week),Sleep_Hours_per_Night,Final_Grade
26,18,Auditory,10,Yes,77,97,96,Yes,Medium,11,5,A
19,44,Kinesthetic,13,Yes,94,88,62,Yes,Medium,1,10,A
28,36,Reading/Writing,20,No,76,48,51,Yes,High,28,10,D
24,15,Visual,8,Yes,59,68,71,Yes,High,30,4,C
20,10,Visual,20,Yes,93,51,50,Yes,Medium,20,10,D
19,10,Visual,17,No,61,65,64,No,Medium,3,10,C
23,11,Visual,20,No,72,53,62,Yes,Medium,11,9,D
26,39,Reading/Writing,4,No,89,66,89,Yes,Low,2,6,C
21,5,Auditory,0,Yes,57,42,52,Yes,Medium,14,4,D
20,22,Auditory,14,No,58,51,89,Yes,Low,11,5,D
19,40,Kinesthetic,15,Yes,59,56,75,Yes,Medium,0,8,C
27,20,Visual,9,Yes,81,44,55,Yes,High,4,5,D
19,21,Reading/Writing,13,No,79,76,60,No,Low,1,10,B
27,36,Auditory,0,No,85,57,69,Yes,Medium,0,7,C
26,23,Visual,2,Yes,69,46,71,No,Medium,14,9,D
18,43,Visual,7,No,50,47,100,No,Medium,26,7,D
23,21,Visual,10,Yes,64,98,81,Yes,High,15,8,A
21,16,Kinesthetic,14,Yes,68,42,85,Yes,Medium,2,8,D
19,37,Visual,16,No,80,63,50,No,Medium,3,7,C
29,35,Kinesthetic,17,Yes,77,49,88,Yes,Medium,13,10,D
24,47,Reading/Writing,5,Yes,52,85,83,Yes,High,7,8,A
29,13,Visual,0,No,67,73,68,Yes,Medium,25,6,B
25,41,Auditory,0,No,64,84,72,No,Medium,26,10,B
29,38,Visual,12,Yes,67,63,66,Yes,Medium,5,7,C
25,41,Reading/Writing,0,No,100,42,89,No,Low,4,6,D
25,35,Kinesthetic,16,No,99,51,97,Yes,Low,26,6,D
28,34,Auditory,18,No,64,50,87,Yes,Low,19,8,D
18,37,Reading/Writing,6,Yes,66,64,78,No,Medium,11,5,C
21,28,Kinesthetic,2,Yes,82,73,79,Yes,Low,28,4,B
26,39,Kinesthetic,14,Yes,67,42,100,Yes,Low,5,8,D
29,37,Reading/Writing,17,Yes,91,66,55,Yes,Medium,11,5,C
21,25,Visual,17,Yes,88,92,79,No,Medium,11,6,A
18,25,Visual,20,Yes,57,79,96,Yes,Medium,18,9,B
18,46,Visual,19,Yes,83,42,95,Yes,High,16,8,D
20,18,Reading/Writing,4,No,59,74,69,No,Medium,18,7,B
27,28,Reading/Writing,18,Yes,72,56,51,Yes,Medium,27,9,C
27,19,Reading/Writing,11,Yes,78,82,58,Yes,Medium,1,6,B
28,30,Kinesthetic,11,No,50,94,76,Yes,Medium,20,8,A
22,45,Visual,19,No,95,49,94,Yes,Low,11,9,D
26,45,Visual,5,Yes,97,55,62,Yes,Medium,25,7,C
25,15,Kinesthetic,15,No,96,90,65,Yes,High,22,4,A
27,8,Visual,11,No,89,55,75,No,Low,2,8,C
20,25,Visual,4,No,100,93,64,Yes,Medium,18,10,A
22,16,Reading/Writing,5,No,88,80,53,Yes,Medium,10,7,B
25,44,Kinesthetic,15,No,75,85,73,Yes,Medium,4,8,A
22,22,Visual,11,No,67,99,79,Yes,Medium,9,5,A
21,32,Auditory,17,No,82,47,98,Yes,High,8,8,D
23,27,Reading/Writing,10,Yes,80,77,84,Yes,Medium,29,10,B
25,11,Reading/Writing,7,Yes,94,52,98,Yes,Medium,7,10,D
21,30,Visual,9,Yes,90,68,77,Yes,High,21,4,C
27,15,Reading/Writing,8,No,72,76,73,No,Medium,3,10,B
18,22,Visual,6,No,69,59,100,Yes,Medium,10,8,C
28,7,Auditory,15,Yes,99,86,97,Yes,Medium,14,7,A
21,46,Kinesthetic,4,No,55,47,96,No,Medium,13,4,D
19,6,Kinesthetic,0,Yes,68,99,68,Yes,Low,30,10,A
19,26,Reading/Writing,4,No,93,89,79,Yes,High,9,4,A
28,42,Auditory,8,Yes,90,57,61,Yes,Medium,28,5,C
28,34,Visual,8,Yes,68,66,70,Yes,Medium,5,10,C
22,7,Visual,13,Yes,89,92,94,No,Low,27,8,A
19,18,Visual,15,Yes,50,97,75,Yes,Medium,14,7,A
19,24,Reading/Writing,0,Yes,67,46,94,No,Low,20,8,D
21,5,Kinesthetic,18,Yes,65,100,57,No,Low,16,6,A
28,15,Visual,5,No,71,51,50,Yes,Medium,21,9,D
29,15,Auditory,5,Yes,72,94,66,No,Medium,9,4,A
24,26,Visual,3,Yes,76,77,56,No,Medium,26,6,B
29,39,Reading/Writing,7,No,96,54,53,Yes,Medium,26,7,D
22,35,Auditory,19,Yes,50,60,56,Yes,Low,9,4,C
25,13,Reading/Writing,7,Yes,78,49,93,Yes,Low,5,5,D
27,26,Auditory,3,No,55,71,71,No,High,16,7,B
29,47,Reading/Writing,15,Yes,58,47,55,Yes,Low,10,9,D
28,23,Auditory,6,No,73,100,75,No,Medium,8,6,A
29,13,Kinesthetic,20,No,50,84,86,Yes,Medium,20,6,B
26,14,Visual,5,Yes,97,76,70,Yes,High,25,8,B
20,13,Kinesthetic,1,Yes,78,48,81,No,Medium,17,6,D
28,36,Reading/Writing,4,Yes,82,85,72,Yes,High,24,7,A
21,22,Reading/Writing,5,Yes,73,47,79,Yes,Low,29,6,D
24,48,Auditory,15,No,64,62,53,Yes,Low,8,10,C
23,32,Auditory,16,Yes,84,68,98,Yes,Medium,4,8,C
18,43,Auditory,1,Yes,87,51,62,Yes,Medium,5,6,D
23,9,Auditory,16,Yes,92,77,71,Yes,Low,28,5,B
28,28,Reading/Writing,11,Yes,56,92,70,No,Low,25,8,A
26,27,Kinesthetic,16,No,55,88,82,Yes,Medium,28,4,A
23,37,Visual,19,No,60,86,83,Yes,Medium,0,5,A
28,16,Auditory,16,No,62,60,71,Yes,Medium,2,10,C
29,6,Kinesthetic,17,No,77,55,83,Yes,High,5,6,C
23,9,Kinesthetic,0,No,69,53,79,Yes,Low,3,7,D
28,47,Kinesthetic,16,Yes,55,40,96,Yes,Low,28,5,D
18,8,Auditory,15,Yes,54,50,78,No,Low,24,9,D
27,39,Visual,1,Yes,86,89,80,Yes,Low,15,8,A
28,6,Reading/Writing,15,Yes,94,48,73,Yes,Low,29,4,D
26,47,Auditory,9,Yes,82,75,92,Yes,Low,19,5,B
21,42,Reading/Writing,17,Yes,90,56,98,Yes,Medium,2,9,C
25,36,Reading/Writing,11,No,94,71,98,Yes,High,14,5,B
24,40,Auditory,0,No,90,83,78,Yes,Medium,25,7,B
23,25,Visual,18,Yes,77,78,89,Yes,Medium,23,9,B
24,23,Kinesthetic,9,Yes,54,66,76,Yes,Low,10,9,C
28,41,Visual,4,Yes,53,49,54,Yes,High,4,7,D
21,40,Auditory,14,Yes,87,70,84,No,Low,3,8,B
